source_name,source_type,url,what_to_borrow,visual_or_model_implication
GSA Kahua Monthly Status Report,Official owner PMIS guidance,https://www.gsa.gov/real-estate/project-management-information-system/training-project-management-tool/kahua-monthly-status-report,"Monthly status reporting; milestone status; risk dashboard; project directory; current-state reporting discipline","Responsibility dashboard should connect status, exceptions, and accountable control view"
UK GovS 002 Project Delivery Standard,Official project-delivery standard,https://projectdelivery.gov.uk/library-products/government-functional-standard-govs-002-project-delivery/,"Roles, responsibilities, governance, factual status, risks, issues, decisions","Responsible is an accountability coordinate, not a person-name field"
UK Teal Book: Controlling,Official project-delivery guidance,https://projectdelivery.gov.uk/teal-book/home/part-e-planning-and-control/chapter-17-controlling/,"Control cycle, variance visibility, corrective action, project-control discipline","Delay signal and attention ranking should support intervention"
AACE Earned Value guide,Professional project-controls guidance,https://web.aacei.org/docs/default-source/toc/toc_EVP3.pdf,"Earned value vocabulary and performance measurement context","Use PV / EV / AC, SPI, CPI by responsibility bucket with pilot-proxy caveat"
DOE Project Dashboard example,Official owner dashboard example,https://www.energy.gov/media/284249,"Cost and schedule dashboard metrics; project health signal","Compact KPI band and RAG-style executive scan"
Ashghal APMS training page,Owner PMIS / programme reporting context,https://www.ashghal.gov.qa/en/pages/apmstraining.aspx,"PMIS-enabled project and programme controls environment","Keep dashboard as a controlled reporting surface"
Ashghal QA/QC monitoring paper,Construction monitoring source,https://journals.qu.edu.qa/index.php/CIC/article/download/3648/2355/10894,"Dashboard monitoring for quality and contractor oversight","Supports operational exception and accountability views"
Planera construction dashboard,Vendor visual reference,https://www.planera.io/project-dashboard,"Construction dashboard visual grammar; schedule and field-control emphasis","Use large readable blocks and bars"
SmartPM company dashboard,Vendor visual reference,https://smartpm.com/company-dashboard,"Company-level schedule analytics and risk signal","Use as weak visual reference only"
Autodesk dashboards and data analytics,Vendor visual reference,https://construction.autodesk.com/tools/dashboards-and-data-analytics/,"Construction dashboard and analytics presentation patterns","Use visual language, not source methodology"
Sphere subcontractor dashboard case,Vendor / case-study visual reference,https://www.sphereinc.com/case-studies/dashboard-for-subcontractor-management/,"Subcontractor performance dashboard patterns","Supports responsibility / contractor performance layout"
